bank,city,branch,swiftCode,country
HABIB METROPOLITAN BANK LIMITED,LAHORE,BADAMI BAGH BRANCH,MPBLPKKA046,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,BAGHBANPURA BRANCH,MPBLPKKA067,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,CENTRALIZED EXPORTS - LAHORE,MPBLPKKACEL,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,CIRCULAR ROAD BRANCH,MPBLPKKA032,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,DAVIS ROAD BRANCH,MPBLPKKA053,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,DEFENCE BRANCH,MPBLPKKA034,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,GARDEN TOWN BRANCH,MPBLPKKA074,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,GULBERG BRANCH,MPBLPKKA025,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,ISLAMIC BANKING GULBERG BRANCH,MPBLPKKA082,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,LAHORE BRANCH,MPBLPKKA002,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,MAIN BOULEVARD BRANCH,MPBLPKKA061,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,MODEL TOWN BRANCH,MPBLPKKA048,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,RAIWIND ROAD BRANCH,MPBLPKKA069,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,RAVI ROAD BRANCH,MPBLPKKA076,Pakistan
HABIB METROPOLITAN BANK LIMITED,LAHORE,SHAHRAH-E-QUAID-E-AZAM BRANCH,MPBLPKKA084,Pakistan
HABIB METROPOLITAN BANK LIMITED,MIRPUR,MIRPUR (A.K.) BRANCH,MPBLPKKA005,Pakistan
HABIB METROPOLITAN BANK LIMITED,MULTAN,MULTAN BRANCH,MPBLPKKA008,Pakistan
HABIB METROPOLITAN BANK LIMITED,PESHAWAR,PESHAWAR BRANCH,MPBLPKKA003,Pakistan
HABIB METROPOLITAN BANK LIMITED,QUETTA,QUETTA BRANCH,MPBLPKKA004,Pakistan
HABIB METROPOLITAN BANK LIMITED,RAHIM YAR KHAN,RAHIM YAR KHAN BRANCH,MPBLPKKA016,Pakistan
HABIB METROPOLITAN BANK LIMITED,RAWALPINDI,MURREE ROAD BRANCH,MPBLPKKA055,Pakistan
HABIB METROPOLITAN BANK LIMITED,RAWALPINDI,RAWALPINDI BRANCH,MPBLPKKA036,Pakistan
HABIB METROPOLITAN BANK LIMITED,SIALKOT,CENTRALIZED EXPORTS - SIALKOT,MPBLPKKACES,Pakistan
HABIB METROPOLITAN BANK LIMITED,SIALKOT,SIALKOT BRANCH,MPBLPKKA006,Pakistan
HABIB METROPOLITAN BANK LIMITED,SIALKOT,SMALL INDUSTRIAL ESTATES BRANCH,MPBLPKKA049,Pakistan
HSBC BANK OMAN S.A.O.G. (FORMERLY OMAN INTERNATIONAL BANK),KARACHI,,OIBAPKK1,Pakistan
HSBC BANK OMAN S.A.O.G. (FORMERLY OMAN INTERNATIONAL BANK),LAHORE,LAHORE BRANCH,OIBAPKK1LHR,Pakistan
IGI FINEX SECURITIES,KARACHI,,IGFSPKK1,Pakistan
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, KARACHI BRANCH",KARACHI,,ICBKPKKA,Pakistan
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, KARACHI BRANCH",KARACHI,RMB CLEARING,ICBKPKKACLR,Pakistan
INSIGHT SECURITIES (PRIVATE) LTD,KARACHI,,ISSTPKK1,Pakistan
INTERMARKET SECURITIES LIMITED,KARACHI,,ITSRPKK1,Pakistan
INVISOR SECURITIES (PVT) LIMITED,KARACHI,,IVSPPKK1,Pakistan
JAHANGIR SIDDIQUI AND COMPANY LIMITED,KARACHI,,JESIPKK1,Pakistan
JARDINE FLEMING PAKISTAN LTD.,KARACHI,,JAFPPKK1,Pakistan
JS BANK LIMITED,KARACHI,,JSBLPKKA,Pakistan
JS BANK LIMITED,KARACHI,ROSHAN DIGITAL ACCOUNT,JSBLPKKARDA,Pakistan
JS BANK LIMITED,LAHORE,LAHORE BRANCH,JSBLPKKALHR,Pakistan
JS GLOBAL CAPITAL LIMITED,KARACHI,,JSCMPKK1,Pakistan
KHADIM ALI SHAH BUKHARI AND CO. LTD,KARACHI,,KASBPKK1,Pakistan
KTRADE SECURITIES LIMITED,KARACHI,,KTSEPKK2,Pakistan
MAJEED ADAM,KARACHI,,MAADPKK1,Pakistan
MCB BANK LIMITED,FAISALABAD,CIRCULAR ROAD,MUCBPKKACRF,Pakistan
MCB BANK LIMITED,FAISALABAD,"TRADE SERVICES CENTRE, FAISALABAD",MUCBPKKATSF,Pakistan
MCB BANK LIMITED,GUJRANWALA,BANK SQUARE,MUCBPKKABSG,Pakistan
MCB BANK LIMITED,GUJRANWALA,"TRADE SERVICES CENTRE, GUJRANWALA",MUCBPKKATSG,Pakistan
MCB BANK LIMITED,ISLAMABAD,MAIN CIVIC CENTRE BRANCH,MUCBPKKAMCC,Pakistan
MCB BANK LIMITED,ISLAMABAD,"TRADE SERVICES CENTRE, ISLAMABAD",MUCBPKKATSI,Pakistan
MCB BANK LIMITED,KARACHI,,MUCBPKKA,Pakistan
MCB BANK LIMITED,KARACHI,"CORPORATE BRANCH MCB TOWER, KARACHI",MUCBPKKASCK,Pakistan
MCB BANK LIMITED,KARACHI,EXPORT PROCESSING ZONE,MUCBPKKAEPZ,Pakistan
MCB BANK LIMITED,KARACHI,JODIA BAZAR BRANCH,MUCBPKKAJBK,Pakistan
MCB BANK LIMITED,KARACHI,MAIN BRANCH,MUCBPKKAMBK,Pakistan
MCB BANK LIMITED,KARACHI,NEW CHALLI BRANCH,MUCBPKKANCK,Pakistan
MCB BANK LIMITED,KARACHI,"TRADE SERVICES CENTRE, KARACHI",MUCBPKKATSK,Pakistan
MCB BANK LIMITED,KARACHI,TREASURY-RTGS,MUCBPKKARTG,Pakistan
MCB BANK LIMITED,LAHORE,NILA GUMBAD BRANCH,MUCBPKKANGL,Pakistan
MCB BANK LIMITED,LAHORE,ROSHAN DIGITAL ACCOUNT PAKISTAN,MUCBPKKARDA,Pakistan
MCB BANK LIMITED,LAHORE,"TRADE SERVICES CENTRE, LAHORE",MUCBPKKATSL,Pakistan
MCB BANK LIMITED,MULTAN,HUSSAIN AGAHI ROAD BRANCH,MUCBPKKAHAM,Pakistan
MCB BANK LIMITED,MULTAN,"TRADE SERVICES CENTRE, MULTAN",MUCBPKKATSM,Pakistan
MCB BANK LIMITED,PESHAWAR,CHOWK YADGAR,MUCBPKKACYP,Pakistan
MCB BANK LIMITED,PESHAWAR,CHOWK YADGAR BRANCH,MUCBPKKATSP,Pakistan
MCB BANK LIMITED,SIALKOT,"TRADE SERVICES CENTRE, SIALKOT",MUCBPKKATSS,Pakistan
MCB BANK LIMITED,SIALKOT,TRUNK BAZAR BRANCH,MUCBPKKATBS,Pakistan
MCB ISLAMIC BANK LIMITED,LAHORE,,MCIBPKKI,Pakistan
MEEZAN BANK LIMITED,FAISALABAD,CIVIL LINES,MEZNPKKAFSD,Pakistan
MEEZAN BANK LIMITED,GUJRANWALA,"GUJRANWALA BRANCH, TRADE FINANCE DEPARTMENT",MEZNPKKAGRW,Pakistan
MEEZAN BANK LIMITED,ISLAMABAD,JINNAH AVENUE,MEZNPKKAISD,Pakistan
MEEZAN BANK LIMITED,ISLAMABAD,MBL TFD ISD I9 MARKAZ,MEZNPKKAIS2,Pakistan
MEEZAN BANK LIMITED,KARACHI,,MEZNPKKA,Pakistan
MEEZAN BANK LIMITED,KARACHI,"BIN QASIM BRANCH, TRADE FINANCE DEPARTMENT",MEZNPKKAK04,Pakistan
MEEZAN BANK LIMITED,KARACHI,"DHA PHASE II EXTENSION BRANCH, TRADE FINANCE DEPARTMENT",MEZNPKKADHA,Pakistan
MEEZAN BANK LIMITED,KARACHI,"HEAD OFFICE, GLOBAL REMITTANCE DEPARTMENT",MEZNPKKAGRD,Pakistan
MEEZAN BANK LIMITED,KARACHI,"HEAD OFFICE, TRADE FINANCE DEPARTMENT",MEZNPKKATFD,Pakistan
MEEZAN BANK LIMITED,KARACHI,"HEAD OFFICE, TREASURY BACK OFFICE",MEZNPKKATRY,Pakistan
MEEZAN BANK LIMITED,KARACHI,"KORANGI BRANCH, TRADE FINANCE DEPARTMENT",MEZNPKKAK02,Pakistan
MEEZAN BANK LIMITED,KARACHI,MBL GRD OUTWARD REMITTANCE,MEZNPKKAGRO,Pakistan
MEEZAN BANK LIMITED,KARACHI,MBL HO CAD,MEZNPKKACAD,Pakistan
MEEZAN BANK LIMITED,KARACHI,MBL HO EXPORTS,MEZNPKKAEXP,Pakistan
MEEZAN BANK LIMITED,KARACHI,MBL HO HOME REMITTANCE,MEZNPKKAHRU,Pakistan
MEEZAN BANK LIMITED,KARACHI,NEW CHALLIE,MEZNPKKAK01,Pakistan
MEEZAN BANK LIMITED,KARACHI,ROSHAN DIGITAL ACCOUNT,MEZNPKKARDA,Pakistan
MEEZAN BANK LIMITED,KARACHI,"SITE AREA BRANCH, TRADE FINANCE DEPARTMENT",MEZNPKKAK03,Pakistan
MEEZAN BANK LIMITED,LAHORE,"CIRCULAR ROAD BRANCH, LAHORE, TRADE FINANCE DEPARTMENT",MEZNPKKALH2,Pakistan
MEEZAN BANK LIMITED,LAHORE,GULBERG,MEZNPKKALHR,Pakistan
MEEZAN BANK LIMITED,MULTAN,NAWAH SHAHER,MEZNPKKAMTN,Pakistan
MEEZAN BANK LIMITED,PESHAWAR,"PESHAWAR BRANCH, TRADE FINANCE DEPARTMENT",MEZNPKKAPEW,Pakistan
MEEZAN BANK LIMITED,RAWALPINDI,MBL TFD RWP BANK ROAD SADDAR,MEZNPKKARWP,Pakistan
MEEZAN BANK LIMITED,SIALKOT,"SIALKOT BRANCH, TRADE FINANCE DEPARTMENT",MEZNPKKASKT,Pakistan
NATIONAL BANK OF PAKISTAN,FAISALABAD,,NBPAPKKA02F,Pakistan
NATIONAL BANK OF PAKISTAN,FAISALABAD,COOPRATE BRANCH,NBPAPKKACOF,Pakistan
NATIONAL BANK OF PAKISTAN,GUJRANWALA,,NBPAPKKA02G,Pakistan
NATIONAL BANK OF PAKISTAN,HYDERABAD,,NBPAPKKA02H,Pakistan
NATIONAL BANK OF PAKISTAN,ISLAMABAD,,NBPAPKKA02I,Pakistan
NATIONAL BANK OF PAKISTAN,ISLAMABAD,CORPORATE,NBPAPKKASMB,Pakistan
NATIONAL BANK OF PAKISTAN,KARACHI,CORPORATE BRANCH,NBPAPKKACPB,Pakistan
NATIONAL BANK OF PAKISTAN,KARACHI,EXPORT PROCESSING ZONE BRANCH OFF-SHORE BANKING BRANCH,NBPAPKKAEPZ,Pakistan
NATIONAL BANK OF PAKISTAN,KARACHI,HEAD OFFICE,NBPAPKKAITD,Pakistan
NATIONAL BANK OF PAKISTAN,KARACHI,HEAD OFFICE,NBPAPKKA,Pakistan
NATIONAL BANK OF PAKISTAN,KARACHI,MAIN BRANCH,NBPAPKKAMBR,Pakistan
NATIONAL BANK OF PAKISTAN,KARACHI,MAIN BRANCH,NBPAPKKAISL,Pakistan
NATIONAL BANK OF PAKISTAN,KARACHI,OVERSEAS BANKING OPERATIONS-HEAD OFFICE KARACHI,NBPAPKKANEC,Pakistan
NATIONAL BANK OF PAKISTAN,LAHORE,,NBPAPKKA02L,Pakistan
NATIONAL BANK OF PAKISTAN,LAHORE,COOPRATE BRANCH,NBPAPKKACBL,Pakistan
NATIONAL BANK OF PAKISTAN,MIRPUR,MAIN BRANCH/CORPORATE BRANCH,NBPAPKKA02U,Pakistan
NATIONAL BANK OF PAKISTAN,MULTAN,,NBPAPKKA02M,Pakistan
NATIONAL BANK OF PAKISTAN,MULTAN,CORPORATE BRANCH,NBPAPKK1COM,Pakistan
NATIONAL BANK OF PAKISTAN,MULTAN,CORPORATE BRANCH,NBPAPKKACBM,Pakistan
NATIONAL BANK OF PAKISTAN,MUZAFFARABAD,,NBPAPKKA02Z,Pakistan
NATIONAL BANK OF PAKISTAN,PESHAWAR,,NBPAPKKA02P,Pakistan
NATIONAL BANK OF PAKISTAN,QUETTA,,NBPAPKKA02Q,Pakistan
NATIONAL BANK OF PAKISTAN,RAWALPINDI,,NBPAPKKA02R,Pakistan
NATIONAL BANK OF PAKISTAN,SIALKOT,DISTRICT COURT BRANCH,NBPAPKKA02S,Pakistan
NAYAPAY (PRIVATE) LIMITED,KARACHI,,NAYAPKK2,Pakistan
NEXT CAPITAL LIMITED,KARACHI,,NEAIPKK1,Pakistan
OPTIMUS CAPITAL MANAGEMENT (PVT) LTD,KARACHI,,OCMVPKK1,Pakistan
PAKISTAN KUWAIT INVESTMENT COMPANY PRIVATE LIMITED,KARACHI,,PKICPKK1,Pakistan
PAKISTAN TOBACCO COMPANY LIMITED,ISLAMABAD,,BATSPKA1,Pakistan
PAKLIBYA HOLDING COMPANY (PRIVATE) LIMITED,KARACHI,,PHCPPKK1,Pakistan
ROYAL INTERNATIONAL EXCHANGE COMPANY (PVT) LTD,SIALKOT,,ROEXPKK1,Pakistan
ROYAL INTERNATIONAL EXCHANGE COMPANY (PVT) LTD,SIALKOT,,ROEXPKK1GAO,Pakistan
ROYAL INTERNATIONAL EXCHANGE COMPANY (PVT) LTD,SIALKOT,BRANCH,ROEXPKK1SKT,Pakistan
RUPALI BANK LIMITED,KARACHI,,RUPBPKK1,Pakistan
SAMBA BANK LIMITED,KARACHI,,SAMBPKKA,Pakistan
SAMBA BANK LIMITED,KARACHI,ROSHAN DIGITAL ACCOUNT,SAMBPKKARDA,Pakistan
SILKBANK LIMITED,KARACHI,,SAUDPKKA,Pakistan
SINDH BANK LIMITED,KARACHI,,SINDPKKA,Pakistan
SME BANK LTD,ISLAMABAD,,SMESPKK1,Pakistan
SONERI BANK LIMITED,BAHAWALPUR,BAHAWALPUR BRANCH,SONEPKKABWP,Pakistan
SONERI BANK LIMITED,FAISALABAD,"MAIN BRANCH,FAISALABAD",SONEPKKAFSD,Pakistan
SONERI BANK LIMITED,GUJRANWALA,MAIN BRANCH GUNJRANWALA,SONEPKKAGJR,Pakistan
SONERI BANK LIMITED,HYDERABAD,"MAIN BRANCH, HYDERABAD",SONEPKKAHYD,Pakistan
SONERI BANK LIMITED,ISLAMABAD,,SONEPKKAMIS,Pakistan
SONERI BANK LIMITED,ISLAMABAD,CENTRALIZED TRADE OPERATIONS,SONEPKKAISD,Pakistan
SONERI BANK LIMITED,KARACHI,,SONEPKKA,Pakistan
SONERI BANK LIMITED,KARACHI,,SONEPKKAMJK,Pakistan
SONERI BANK LIMITED,KARACHI,CENTRALIZED REMITTANCE UNIT,SONEPKKAKAR,Pakistan
SONERI BANK LIMITED,KARACHI,CENTRALIZED TRADE OPERATIONS,SONEPKKACTO,Pakistan
SONERI BANK LIMITED,KARACHI,CLIFTON BRANCH,SONEPKKACKR,Pakistan
SONERI BANK LIMITED,KARACHI,DEFENCE BRANCH,SONEPKKADHK,Pakistan
SONERI BANK LIMITED,KARACHI,FOREX AND TREASURY DEPARTMENT,SONEPKKATRY,Pakistan
SONERI BANK LIMITED,KARACHI,ISLAMIC BANKING CLOTH MARKET BRANCH,SONEPKKAICK,Pakistan
SONERI BANK LIMITED,KARACHI,"JODIA BAZAR, KARACHI",SONEPKKAJKR,Pakistan
SONERI BANK LIMITED,KARACHI,KORANGI INDUSTRIAL AREA BRANCH,SONEPKKAKKR,Pakistan
SONERI BANK LIMITED,KARACHI,NEW CHALLI BRANCH,SONEPKKANCK,Pakistan
SONERI BANK LIMITED,KARACHI,SHAHRAH-E-FAISAL BRANCH,SONEPKKASFK,Pakistan
SONERI BANK LIMITED,KARACHI,SITE BRANCH,SONEPKKASIK,Pakistan
SONERI BANK LIMITED,LAHORE,AKBAR CHOWK BRANCH,SONEPKKAALH,Pakistan
SONERI BANK LIMITED,LAHORE,BADAMI BAGH BRANCH,SONEPKKABBL,Pakistan
SONERI BANK LIMITED,LAHORE,CAVALARY GROUND BRANCH,SONEPKKACGL,Pakistan
SONERI BANK LIMITED,LAHORE,CENTRALIZED TRADE OPERATIONS,SONEPKKALHR,Pakistan
SONERI BANK LIMITED,LAHORE,CHUNGI AMER SADHU,SONEPKKACAL,Pakistan
SONERI BANK LIMITED,LAHORE,"CIRCULAR ROAD, LAHORE BRANCH",SONEPKKACLH,Pakistan
SONERI BANK LIMITED,LAHORE,"DEFENCE BRANCH, LAHORE",SONEPKKADLH,Pakistan
SONERI BANK LIMITED,LAHORE,"GULBERG BRANCH, LAHORE",SONEPKKAGLH,Pakistan
SONERI BANK LIMITED,LAHORE,ISLAMIC BANKING NEW GARDEN TOWN BRANCH,SONEPKKAIGL,Pakistan
SONERI BANK LIMITED,LAHORE,MODEL TOWN BRANCH,SONEPKKAMLH,Pakistan
SONERI BANK LIMITED,LAHORE,"PHASE III, DEFENCE",SONEPKKADPL,Pakistan
SONERI BANK LIMITED,LAHORE,QARTABA CHOWK BRANCH LAHORE,SONEPKKAQCL,Pakistan
SONERI BANK LIMITED,LAHORE,THOKER NIAZ BAIG,SONEPKKATNL,Pakistan
SONERI BANK LIMITED,LAHORE,UPPER MALL BRANCH,SONEPKKAUML,Pakistan
SONERI BANK LIMITED,MULTAN,CENTRALIZED TRADE OPERATIONS,SONEPKKAMTN,Pakistan
SONERI BANK LIMITED,PESHAWAR,,SONEPKKAIBP,Pakistan
SONERI BANK LIMITED,PESHAWAR,"CHOWK YADGAR, PESHAWAR",SONEPKKACYP,Pakistan
SONERI BANK LIMITED,PESHAWAR,"MAIN BRANCH,PESHAWAR",SONEPKKAPSH,Pakistan
SONERI BANK LIMITED,QUETTA,"MAIN BRANCH,QUETTA",SONEPKKAQTA,Pakistan
SONERI BANK LIMITED,RAWALPINDI,MAIN BRANCH RAWALPINDI,SONEPKKARWP,Pakistan
SONERI BANK LIMITED,SIALKOT,CENTRALIZED TRADE OPERATIONS,SONEPKKASKT,Pakistan
SONERI BANK LIMITED,SUKKUR,MAIN BRANCH SUKKUR,SONEPKKASUK,Pakistan
SONERI BANK LIMITED,WAZIRABAD,MAIN BRANCH WAZIRABAD,SONEPKKAWZD,Pakistan
STANDARD CHARTERED BANK (PAKISTAN) LIMITED,KARACHI,,SCBLPKKXEQI,Pakistan
STANDARD CHARTERED BANK (PAKISTAN) LIMITED,KARACHI,,SCBLPKKX,Pakistan
STANDARD CHARTERED BANK (PAKISTAN) LIMITED,KARACHI,CLIFTON BRANCH,SCBLPKKXCLF,Pakistan
STANDARD CHARTERED BANK (PAKISTAN) LIMITED,KARACHI,RDA PROCESSING,SCBLPKKXRDA,Pakistan
STANDARD CHARTERED BANK (PAKISTAN) LIMITED,LAHORE,LAHORE BRANCH,SCBLPKKXLHR,Pakistan
STATE BANK OF PAKISTAN,KARACHI,,SBPPPKKA,Pakistan
TAURUS SECURITIES LIMITED,KARACHI,,TASRPKK1,Pakistan
THE BANK OF PUNJAB,FAISALABAD,SMALL D GROUND BRANCH,BPUNPKKA010,Pakistan
THE BANK OF PUNJAB,GUJRANWALA,TRUST PLAZA BRANCH,BPUNPKKA011,Pakistan
THE BANK OF PUNJAB,KARACHI,CENTRALIZED REMITTANCE UNIT - CRU,BPUNPKKACRU,Pakistan
THE BANK OF PUNJAB,KARACHI,TPC KARACHI,BPUNPKKA239,Pakistan
THE BANK OF PUNJAB,LAHORE,,BPUNPKKA,Pakistan
THE BANK OF PUNJAB,LAHORE,BANK SQUARE BRANCH,BPUNPKKA024,Pakistan
THE BANK OF PUNJAB,LAHORE,"M.M TOWER BRANCH, LAHORE",BPUNPKKA052,Pakistan
THE BANK OF PUNJAB,LAHORE,MAIN TPC CENTRE,BPUNPKKA002,Pakistan
THE BANK OF PUNJAB,LAHORE,ROSHAN DIGITAL ACCOUNT - UNIT,BPUNPKKARDA,Pakistan
THE BANK OF PUNJAB,LAHORE,TAQWA ISLAMIC BANKING,BPUNPKKAIBD,Pakistan
THE BANK OF PUNJAB,MULTAN,NUSRAT ROAD BRANCH,BPUNPKKA004,Pakistan
THE BANK OF PUNJAB,PESHAWAR,SADDAR ROAD BRANCH,BPUNPKKA241,Pakistan
THE BANK OF PUNJAB,RAWALPINDI,TPC RAWALPINDI,BPUNPKKA014,Pakistan
TOPLINE SECURITIES PVT LTD.,KARACHI,,TOSVPKK1,Pakistan
TRUST BANK LIMITED,KARACHI,,TRBAPKK1CLI,Pakistan
TRUST BANK LIMITED,KARACHI,,TRBAPKK1,Pakistan
UNITED BANK LIMITED,FAISALABAD,BANK SQUARE BRANCH,UNILPKKA686,Pakistan
UNITED BANK LIMITED,ISLAMABAD,JINNAH AVENUE BRANCH,UNILPKKA741,Pakistan
UNITED BANK LIMITED,KARACHI,,UNILPKKA,Pakistan
UNITED BANK LIMITED,KARACHI,,UNILPKKARDA,Pakistan
UNITED BANK LIMITED,KARACHI,"CPU TRADE, HEAD OFFICE",UNILPKKATFC,Pakistan
UNITED BANK LIMITED,KARACHI,"UBL AMEEN-ISLAMIC BANKING DIVISION, HEAD OFFICE, KARACHI",UNILPKKAIMB,Pakistan
UNITED BANK LIMITED,LAHORE,BANK SQUARE BRANCH,UNILPKKA028,Pakistan
UNITED BANK LIMITED,PESHAWAR,DEANS TRADE CENTRE BRANCH,UNILPKKA939,Pakistan
WALL STREET EXCHANGE COMPANY (PVT) LTD.,KARACHI,,WSEPPKK1,Pakistan
ABDULHADI ABDULLAH AL-QAHTANI SONS GROUP HOLDING COMPANY CJSC,ALKHOBAR,,ALQASADK,Saudi Arabia
ABDULLAH IBRAHIM ALKHORAYEF SONS COMPANY,RIYADH,,AIASSARI,Saudi Arabia
AL INMA BANK,RIYADH,,INMASARI,Saudi Arabia
AL RA'IDAH INVESTMENT COMPANY,RIYADH,,ALRDSARI,Saudi Arabia
AL RAJHI BANK,RIYADH,,RJHISARIARC,Saudi Arabia
AL RAJHI BANK,RIYADH,HEAD OFFICE,RJHISARI,Saudi Arabia
ALAWWAL INVEST,RIYADH,,SAHCSARI,Saudi Arabia
ALFANAR CO CLOSED JOINT STOCK COMPANY,RIYADH,,FANRSARI,Saudi Arabia
ALMARAI COMPANY,RIYADH,,ALMRSARI,Saudi Arabia
ALRAJHI COMMERCIAL FOREIGN EXCHANGE,JEDDAH,,AFEXSAJ1,Saudi Arabia
ARAB NATIONAL BANK,RIYADH,HEAD OFFICE,ARNBSARI,Saudi Arabia
ARAB PETROLEUM INVESTMENTS CORPORATION,DAMMAM,,APIASAR1,Saudi Arabia
ARAB PETROLEUM INVESTMENTS CORPORATION,DAMMAM,,APICSADM,Saudi Arabia
ARAB PETROLEUM INVESTMENTS CORPORATION,DAMMAM,,APICSADB,Saudi Arabia
ARAMCO LUBRICANTS AND RETAIL COMPANY LLC,DHAHRAN,,ALRYSADD,Saudi Arabia
ARAMCO TRADING COMPANY,DHAHRAN,,SAPCSADH,Saudi Arabia
ARAMCO TRADING COMPANY,DHAHRAN,ARAMCO TRADING AMERICA,SAPCSADHUSA,Saudi Arabia
ARAMCO TRADING COMPANY,DHAHRAN,"ARAMCO TRADING AMERICAS HOLDING, INC. (ATAH)",SAPCSADHATH,Saudi Arabia
ARAMCO TRADING COMPANY,DHAHRAN,ARAMCO TRADING FUJAIRAH FZE,SAPCSADHAEF,Saudi Arabia
ARAMCO TRADING COMPANY,DHAHRAN,ARAMCO TRADING LIMITED,SAPCSADHUKL,Saudi Arabia
ARAMCO TRADING COMPANY,DHAHRAN,SAUDI ARAMCO TRADING SINGAPORE PTE. LTD.,SAPCSADHSSG,Saudi Arabia
BANK AL BILAD,DAMMAM,DAMMAM,ALBISARIDAM,Saudi Arabia
BANK AL BILAD,JEDDAH,JEDDAH,ALBISARIJED,Saudi Arabia
BANK AL BILAD,RIYADH,,ALBISARI,Saudi Arabia
BANK AL BILAD,RIYADH,ALBILAD CUSTODY,ALBISARICAP,Saudi Arabia
BANK AL BILAD,RIYADH,TRADE FINANCE CENTER,ALBISARITFC,Saudi Arabia
BANK AL-JAZIRA,ALKHOBAR,ALKHOBAR BRANCH,BJAZSAJE013,Saudi Arabia
BANK AL-JAZIRA,BURAIDAH,BURAIDAH BRANCH,BJAZSAJE026,Saudi Arabia
BANK AL-JAZIRA,DAMMAM,DAMMAM BRANCH,BJAZSAJE009,Saudi Arabia
BANK AL-JAZIRA,HOFUF,HOFUF BRANCH,BJAZSAJE025,Saudi Arabia
BANK AL-JAZIRA,JEDDAH,,BJAZSAJE,Saudi Arabia
BANK AL-JAZIRA,JEDDAH,HEAD OFFICE,BJAZSAJE002,Saudi Arabia
BANK AL-JAZIRA,JEDDAH,KHALID BIN WALEED STREET BRANCH,BJAZSAJE007,Saudi Arabia
BANK AL-JAZIRA,JEDDAH,KING ABDUL AZIZ STREET BR.,BJAZSAJE006,Saudi Arabia
BANK AL-JAZIRA,JEDDAH,MADINA ROAD BRANCH,BJAZSAJE021,Saudi Arabia
BANK AL-JAZIRA,JUBAIL,JUBAIL BRANCH,BJAZSAJE019,Saudi Arabia
BANK AL-JAZIRA,MADINA MUNAWWARA,MADINA MUNAWWARA BRANCH,BJAZSAJE011,Saudi Arabia
BANK AL-JAZIRA,MAKKAH AL-MUKARRAMA,MAKKAH MUKARRAMA BRANCH,BJAZSAJE010,Saudi Arabia
BANK AL-JAZIRA,RIYADH,ALJAZIRA CAPITAL,BJAZSAJEAJC,Saudi Arabia
BANK AL-JAZIRA,RIYADH,FAWRI REMITTANCE SERVICE,BJAZSAJEFWR,Saudi Arabia
BANK AL-JAZIRA,RIYADH,OLAYYAH BRANCH,BJAZSAJE016,Saudi Arabia
BANK AL-JAZIRA,RIYADH,SITTEEN STREET BRANCH,BJAZSAJE027,Saudi Arabia
BANK OF CHINA RIYADH BRANCH,RIYADH,,BKCHSARI,Saudi Arabia
BANKMUSCAT,RIYADH,,BMUSSARI,Saudi Arabia
BANQUE SAUDI FRANSI,ALKHOBAR,EASTERN REGION,BSFRSARIEST,Saudi Arabia
BANQUE SAUDI FRANSI,JEDDAH,WESTERN REGION,BSFRSARIWST,Saudi Arabia
BANQUE SAUDI FRANSI,RIYADH,,BSFRSARI,Saudi Arabia
BANQUE SAUDI FRANSI,RIYADH,CENTRAL REGION,BSFRSARIRYD,Saudi Arabia
BANQUE SAUDI FRANSI,RIYADH,HEAD OFFICE,BSFRSARIGEM,Saudi Arabia
BNP PARIBAS INVESTMENT COMPANY KSA,RIYADH,,BNPASARB,Saudi Arabia
BNP PARIBAS INVESTMENT COMPANY KSA,RIYADH,,BNPASARBWMI,Saudi Arabia
BNP PARIBAS SAUDI ARABIA,RIYADH,,BNPASARI,Saudi Arabia
CITIGROUP SAUDI ARABIA,RIYADH,,CITISARI,Saudi Arabia
CITIGROUP SAUDI ARABIA,RIYADH,CITIGROUP SAUDI ARABIA,CITISARISIG,Saudi Arabia
"CREDIT SUISSE AG, RIYADH BRANCH",RIYADH,,CRESSARY,Saudi Arabia
CREDIT SUISSE SAUDI ARABIA,RIYADH,,CRESSARA20R,Saudi Arabia
CREDIT SUISSE SAUDI ARABIA,RIYADH,,CRESSARA,Saudi Arabia
D360 BANK,RIYADH,,DBAKSARI,Saudi Arabia
DERAYAH FINANCIAL COMPANY,RIYADH,,DERFSARI,Saudi Arabia
"DEUTSCHE BANK AG, RIYADH BRANCH",RIYADH,,DEUTSARIGES,Saudi Arabia
"DEUTSCHE BANK AG, RIYADH BRANCH",RIYADH,,DEUTSARI,Saudi Arabia
"DEUTSCHE BANK AG, RIYADH BRANCH",RIYADH,,DEUTSARA,Saudi Arabia
